size,type,Time (ms),Ratio
16,binair,1527015036,0.7750533553957771
16,binair,9777898746,0.6652881057186831
16,binair,242239,1.0258301062865618
16,binair,266264,1.1153222923865125
16,binair,26842713,1.0474927590206828
16,binair,217207,0.6457399103139013
16,binair,879887,1.059308884017635
16,binair,42704242,1.0249428446659303
16,binair,1893717157,1.0423052017306447
16,binair,36523982,0.7562014378529498
128,binair,153596150408,0.7580539027906796
128,binair,859429833525,0.7140284117569842
128,binair,419427,1.5305796299711107
128,binair,305327,1.7085675695407754
128,binair,43324520,1.584038368754002
128,binair,19371957,0.6567660990910255
128,binair,17151730,1.5410598840096028
128,binair,64326635,1.5628270424893602
128,binair,3169332909,1.5323591687493228
128,binair,2982729847,0.7940207082642267
512,binair,344015316954,0.9554620403120495
