Algorithm,Operation,File,Size,Time (ms)
static,encode,rockefeller.tiff,18896532,8989
static,decode,rockefeller.tiff,18896532,3606
static,encode,shakespeare.txt,5458199,1379
static,decode,shakespeare.txt,5458199,567
static,encode,cat.jpg,41040,25
static,decode,cat.jpg,41040,13
static,encode,alice.txt,74703,22
static,decode,alice.txt,74703,12
static,encode,lipsum.txt,93609,17
static,decode,lipsum.txt,93609,14
static,encode,lena.tiff,786572,391
static,decode,lena.tiff,786572,157
static,encode,beowulf.txt,301063,95
static,decode,beowulf.txt,301063,36
static,encode,colors.png,3665697,1875
static,decode,colors.png,3665697,665
static,encode,dracula.txt,883160,247
static,decode,dracula.txt,883160,95
static,encode,moby.txt,1276800,368
static,decode,moby.txt,1276800,137
adaptive,encode,rockefeller.tiff,18896532,17953
adaptive,decode,rockefeller.tiff,18896532,20062
adaptive,encode,shakespeare.txt,5458199,1171
adaptive,decode,shakespeare.txt,5458199,1685
adaptive,encode,cat.jpg,41040,52
adaptive,decode,cat.jpg,41040,58
adaptive,encode,alice.txt,74703,21
adaptive,decode,alice.txt,74703,25
adaptive,encode,lipsum.txt,93609,21
adaptive,decode,lipsum.txt,93609,27
adaptive,encode,lena.tiff,786572,723
adaptive,decode,lena.tiff,786572,791
adaptive,encode,beowulf.txt,301063,74
adaptive,decode,beowulf.txt,301063,94
adaptive,encode,colors.png,3665697,3177
adaptive,decode,colors.png,3665697,3717
adaptive,encode,dracula.txt,883160,194
adaptive,decode,dracula.txt,883160,273
adaptive,encode,moby.txt,1276800,306
adaptive,decode,moby.txt,1276800,417
sliding,encode,rockefeller.tiff,18896532,787400
sliding,decode,rockefeller.tiff,18896532,806471
sliding,encode,shakespeare.txt,5458199,21067
sliding,decode,shakespeare.txt,5458199,22819
sliding,encode,cat.jpg,41040,1459
sliding,decode,cat.jpg,41040,1447
sliding,encode,alice.txt,74703,286
sliding,decode,alice.txt,74703,313
sliding,encode,lipsum.txt,93609,198
sliding,decode,lipsum.txt,93609,218
sliding,encode,lena.tiff,786572,28118
sliding,decode,lena.tiff,786572,28308
sliding,encode,beowulf.txt,301063,1512
sliding,decode,beowulf.txt,301063,1603
sliding,encode,colors.png,3665697,141640
sliding,decode,colors.png,3665697,143670
sliding,encode,dracula.txt,883160,3323
sliding,decode,dracula.txt,883160,3583
sliding,encode,moby.txt,1276800,5019
sliding,decode,moby.txt,1276800,5425
two_pass,encode,rockefeller.tiff,18896532,449899
two_pass,decode,rockefeller.tiff,18896532,448992
two_pass,encode,shakespeare.txt,5458199,25676
two_pass,decode,shakespeare.txt,5458199,24873
two_pass,encode,cat.jpg,41040,1605
two_pass,decode,cat.jpg,41040,1608
two_pass,encode,alice.txt,74703,357
two_pass,decode,alice.txt,74703,345
two_pass,encode,lipsum.txt,93609,270
two_pass,decode,lipsum.txt,93609,266
two_pass,encode,lena.tiff,786572,19877
two_pass,decode,lena.tiff,786572,19480
two_pass,encode,beowulf.txt,301063,1698
two_pass,decode,beowulf.txt,301063,1651
two_pass,encode,colors.png,3665697,86422
two_pass,decode,colors.png,3665697,86392
two_pass,encode,dracula.txt,883160,4653
two_pass,decode,dracula.txt,883160,4520
two_pass,encode,moby.txt,1276800,6523
two_pass,decode,moby.txt,1276800,6296
block,encode,rockefeller.tiff,18896532,22596
block,decode,rockefeller.tiff,18896532,25244
block,encode,shakespeare.txt,5458199,1372
block,decode,shakespeare.txt,5458199,1641
block,encode,cat.jpg,41040,52
block,decode,cat.jpg,41040,58
block,encode,alice.txt,74703,21
block,decode,alice.txt,74703,26
block,encode,lipsum.txt,93609,22
block,decode,lipsum.txt,93609,26
block,encode,lena.tiff,786572,799
block,decode,lena.tiff,786572,929
block,encode,beowulf.txt,301063,77
block,decode,beowulf.txt,301063,99
block,encode,colors.png,3665697,3394
block,decode,colors.png,3665697,3839
block,encode,dracula.txt,883160,208
block,decode,dracula.txt,883160,258
block,encode,moby.txt,1276800,302
block,decode,moby.txt,1276800,379
